Day,SalesA,SalesB,SalesC,SalesD
2011-07-02,2.95,1.99,6.09,3.99
2011-07-03,1.77,2.1,1.38,3.76
2011-07-04,1.3,1.13,2.28,2.93
2011-07-05,2.14,4.85,1.07,3.64
2011-07-06,3.76,1.92,4.52,2.56
2011-07-07,1.98,1.34,1.78,3.71
2011-07-08,1.32,3.41,4.36,1.9
2011-07-09,1.62,1.29,1.01,5.4
2011-07-10,3.29,1.75,1.66,2.44
2011-07-11,3.05,2.67,5.36,1.28
2011-07-12,1.33,3.48,3.92,1.35
2011-07-13,2.06,5.01,1.7,2.84
2011-07-14,1.33,4.13,4.93,4.14
2011-07-15,4.25,4.14,1.11,5.25
2011-07-16,1.28,3.02,1.09,1.89
2011-07-17,1.16,1.65,6.76,3.83
2011-07-18,1.63,4.15,2.54,3.6
2011-07-19,1.46,1.37,5.69,4.47
2011-07-20,2.18,7.93,5.65,3.24
2011-07-21,1.18,1.82,1.36,3.6
2011-07-22,3.33,2.65,2.92,5.03
2011-07-23,1.26,4.36,1.46,3.77
2011-07-24,3.61,1.67,3.26,2.27
2011-07-25,1.81,4.51,2.88,2.41
2011-07-26,5.77,1.76,2.97,3.7
2011-07-27,2.37,5.57,3.88,3.75
2011-07-28,3.93,1.82,2.94,3.25
2011-07-29,4.85,3.08,6.51,2.28
2011-07-30,7.68,2.42,4.3,1.91
2011-07-31,2.25,1.05,6.87,5.63
2011-08-01,1.84,0.96,1.67,2.52
2011-08-02,2.31,1.08,4.4,4.29
2011-08-03,1.17,1.22,3.34,5.04
2011-08-04,1.62,1.56,5.07,3.67
2011-08-05,1.23,1.24,5.08,1.57
2011-08-06,1.48,1.71,3.46,3.53
2011-08-07,4.34,2.29,1.63,1.98
2011-08-08,1.37,2.26,4.64,2.48
2011-08-09,1.17,1.71,4.2,1.37
2011-08-10,1.09,2.29,3.05,2.85
2011-08-11,2.06,1.24,5.48,2.84
2011-08-12,2.81,3.13,1.8,1.07
2011-08-13,4.17,0.92,4.54,4.28
2011-08-14,2.97,1.1,6.08,2.85
2011-08-15,0.95,1.58,5.06,2.49
2011-08-16,2.92,1.27,2.8,1.61
2011-08-17,3.12,1.65,2.41,1.74
2011-08-18,1.09,1.45,3.96,3.54
2011-08-19,2.76,3.09,6.05,1.9
2011-08-20,3.84,2.87,9.31,2.41
2011-08-21,3.44,1.39,3.79,2.3
2011-08-22,1.14,4.75,1.44,2.37
2011-08-23,1.56,3.36,3.66,2.15
2011-08-24,2.95,2.41,2.54,2.94
2011-08-25,4.97,2.46,7.76,2.51
2011-08-26,5.18,4.46,1.71,4
2011-08-27,2.25,1.7,5.23,3.49
2011-08-28,2.22,2.42,3.73,1.8
2011-08-29,4.59,2.43,5.15,3.23
2011-08-30,1.47,3.49,5.12,3.87
2011-08-31,1.33,3.55,2.69,3.69
2011-09-01,2.7,1.43,4.51,1.68
2011-09-02,2.71,2.76,5.5,3.64
2011-09-03,4.15,4.01,4.31,2.84
2011-09-04,1.31,3.49,1.56,3.48
2011-09-05,1.66,1.49,1.47,2.16
2011-09-06,1.11,1.5,1.87,4.24
2011-09-07,3.05,1.58,6.58,3
2011-09-08,2.79,1.87,3.22,1.52
2011-09-09,2.44,3.71,1.87,2.44
2011-09-10,4.35,4.64,1.69,3.37
2011-09-11,1.06,4.27,4.29,1.3
2011-09-12,4.69,1.85,4.64,1.84
2011-09-13,1.43,3.42,4.98,1.52
2011-09-14,1.21,2.38,2.77,3.41
2011-09-15,3,5.62,2.82,2.62
2011-09-16,2.05,1.17,1.77,2.66
2011-09-17,2.51,1.34,4.86,2.11
2011-09-18,3.13,3,2.95,3.1
2011-09-19,2.59,4.94,2.67,2.59
2011-09-20,2.25,4.88,9.49,3.15
2011-09-21,5.33,4.27,9.46,2.17
2011-09-22,1.06,3.61,2.46,2.41
2011-09-23,2.1,5.84,1.98,1.89
2011-09-24,2.87,1.86,1.57,2.7
2011-09-25,5.18,1.3,4.91,3.15
2011-09-26,1.71,1.67,1.91,3.67
2011-09-27,6.68,1.55,1.42,2.03
2011-09-28,6.36,1.32,3.59,4.64
2011-09-29,3.23,4.66,3.42,2.94
2011-09-30,4.04,4.13,1.88,3.57
2011-10-01,1.4,3.1,3.31,3.87
2011-10-02,1.45,1.41,1.94,3.21
2011-10-03,1.75,3.58,4.86,2.61
2011-10-04,5.57,1.7,5.61,2.45
2011-10-05,4.55,1.02,1.85,1.46
2011-10-06,1.21,4.73,3.19,3.21
2011-10-07,5.74,3.1,1.63,4
2011-10-08,1.03,1.19,1.09,2.29
2011-10-09,3.77,5.95,4.83,3.75
2011-10-10,1.23,2.47,4.09,2.64
2011-10-11,4.01,4.78,5.25,3.06
2011-10-12,4.98,2.06,1.3,3.36
2011-10-13,1.9,2.57,5.83,2.25
2011-10-14,3.69,2.54,0.98,3.67
2011-10-15,1.58,1.76,1.43,3.14
2011-10-16,1.45,1.6,1.84,3.88
2011-10-17,4.04,0.96,4.67,2.82
2011-10-18,1.22,2.38,1.19,2.91
2011-10-19,1.84,6.61,2.29,1.39
2011-10-20,4.24,1.35,1.21,1.67
2011-10-21,0.92,3.02,3.76,2.48
2011-10-22,3.11,1.48,6.1,3.65
2011-10-23,2.07,1.34,7.45,4.07
2011-10-24,1.41,3.38,0.94,4.37
2011-10-25,1.48,1.77,8.61,5.37
2011-10-26,1.46,3.54,3.89,1.61
2011-10-27,2.46,1.75,4.22,3.33
2011-10-28,1.88,1.84,2.87,2.51
2011-10-29,1.26,3.36,6.05,2.76
2011-10-30,1.08,1.81,3.43,1.89
2011-10-31,2.97,3.06,2.92,3.18
2011-11-01,2.86,2.94,4.37,4.56
2011-11-02,1.35,2.64,2.66,2.13
2011-11-03,1.28,1.76,4.89,4.13
2011-11-04,1.3,1.7,1.78,2.97
2011-11-05,1.26,1.64,1.47,2.31
2011-11-06,1.65,1.79,1.15,2.9
2011-11-07,2.36,1.81,7.1,3.53
2011-11-08,1.64,1.86,7.1,3.37
2011-11-09,3.5,2.61,4.2,2.18
2011-11-10,1.36,3.82,7.76,4.08
2011-11-11,6.82,1.52,1.16,3.26
2011-11-12,3.82,1.88,8.46,2.89
2011-11-13,4.14,3.37,2.53,1.84
2011-11-14,2.89,1.8,1.23,2.02
2011-11-15,1.39,1.9,5.73,4.6
2011-11-16,1.08,5.23,5.7,2.83
2011-11-17,6.31,2.62,4.57,2.03
2011-11-18,2.2,3.42,5.55,4.25
2011-11-19,2.37,1.46,3.63,2.34
2011-11-20,1.72,3.24,2.19,3.34
2011-11-21,0.99,1.75,4.2,3.14
2011-11-22,1.45,0.95,2.98,2.79
2011-11-23,5.57,3.49,2.6,2.91
2011-11-24,2.13,0.99,2.38,4.03
2011-11-25,1.38,1.83,3.25,3.8
2011-11-26,1.23,2.54,1.79,2.36
2011-11-27,4.49,1.3,4.72,3.21
2011-11-28,5.3,2.56,5.11,3.53
2011-11-29,1.15,1.77,4.29,2.05
2011-11-30,1.45,2.75,5.66,3.47
2011-12-01,6.08,2.55,4.16,4.05
2011-12-02,1.58,1.04,5.12,2.39
2011-12-03,1.68,1.04,3.58,4.18
2011-12-04,4.8,2.74,1.9,1.39
2011-12-05,1.53,1.79,3.01,4.98
2011-12-06,1.58,1.21,3.61,2.05
2011-12-07,1.49,3.59,7.77,4.65
2011-12-08,2.12,1.85,3.45,2.46
2011-12-09,1.47,1.81,1.14,3.15
2011-12-10,4.87,6.16,2.37,2.34
2011-12-11,2.1,1.83,3.79,1.61
2011-12-12,1.78,3.84,3.02,1.76
2011-12-13,1.86,1.03,4.21,2.12
2011-12-14,2.84,1.96,1.58,1.79
2011-12-15,2.68,3.61,3.43,2.46
2011-12-16,2.33,1.27,1.64,2.97
2011-12-17,2.73,8.17,7.61,2.32
2011-12-18,2.73,1.86,5.27,2.58
2011-12-19,2.76,2.92,3.28,4.32
2011-12-20,2.93,1.12,1.16,3.76
2011-12-21,3.58,1.74,1.48,3.24
2011-12-22,1.78,2.77,6.34,3.2
2011-12-23,4.06,1.65,5.92,4.19
2011-12-24,3.03,4.03,3.2,2.91
2011-12-25,0.94,1.51,4.81,4.7
2011-12-26,1.29,1.89,1.28,1.1
2011-12-27,1.01,1.65,1.15,2.7
2011-12-28,1.39,2.83,1.15,4.44
2011-12-29,4.22,1.64,1.18,3.44
2011-12-30,1,2.8,1.58,3.66
2011-12-31,4.89,1.24,1.46,3.67
